URL,Title,Desire points,Status,Date of application,Contact back,First interview,Second interview,"Third interview"
https://www.linkedin.com/jobs/view/3820230493/,Senior Data Engineer,5,rejected,30.03.2024,12.04.2024,,,
https://www.linkedin.com/jobs/view/3867053700/,"(Senior) Python Engineer, Data Group",5,rejected,30.03.2024,04.04.2024,,,
https://www.linkedin.com/jobs/view/3641764678,Full Stack Software Developer,4,rejected,30.03.2024,16.04.2024,,,
https://www.linkedin.com/jobs/view/3870938834,Senior Software Developer,8,offer,30.03.2024,24.04.2024,02.05.2024,08.05.2024,14.08.2024
https://thehub.io/jobs/65dedf1fedf05f0eb75cd41e,(Senior) Data Scientist,5,rejected,30.03.2024,07.05.2024,,,
https://www.linkedin.com/jobs/view/3860152454,Lead Data Scientist,6,rejected,30.03.2024,06.05.2024,,,
https://www.linkedin.com/jobs/view/3873221681,Data Engineers,6,not answered,30.03.2024,,,,
https://www.linkedin.com/jobs/view/3863793209,Lifetime Data Analyst,6,rejected,31.03.2024,08.04.2024,,,
https://www.linkedin.com/jobs/view/3869496800,Data Scientist (Nordic)- Personal Banking Analytics,3,rejected,31.03.2024,08.05.2024,,,
https://www.linkedin.com/jobs/view/3874648253,Software Engineer,5,rejected,31.03.2024,02.04.2024,,,
https://www.linkedin.com/jobs/view/3870859038,"Data Analyst, Digital Marketing",6,rejected,31.03.2024,16.04.2024,,,
https://www.linkedin.com/jobs/view/3872070670,AI Trainer,6,rejected,31.03.2024,07.04.2024,,,
https://www.linkedin.com/jobs/view/3875355852,"(Sr.) AI & Data Scientist, Protection Concept Lab",6,not answered,01.04.2024,,,,
https://www.linkedin.com/jobs/view/3886242717/,Customer Data Scientist,6,rejected after 1st interview,10.04.2024,16.04.2024,17.04.2024,,
https://www.linkedin.com/jobs/view/3873268470,"Specialist, Cloud AI Services",4,rejected,10.04.2024,28.04.2024,,,
https://valtiolle.fi/en/jobs/researcher-position-in-kuopio-modelling-the-properties-of-atmosphere-3906,Researcher position,7,not answered,13.04.2024,,,,
https://www.linkedin.com/jobs/view/3882925948,Senior Data Scientist - Applied Research,6,rejected,14.04.2024,16.04.2024,,,
https://www.linkedin.com/jobs/view/3872555688,Application Specialist,3,rejected,14.04.2024,06.05.2024,,,
https://www.linkedin.com/jobs/view/3896437205/,"(Senior) Kotlin or Python Engineer, Promotions",3,rejected,14.04.2024,18.04.2024,,,
https://careers.in-parallel.com/jobs/3447596-data-scientist?ittk=RDCGJ8BBG1,Data Scientist,6,not answered,14.04.2024,,,,
https://www.linkedin.com/jobs/view/3893228149/,"Software Engineer",4,rejected,14.04.2024,22.04.2024,,,
https://www.linkedin.com/jobs/view/3574721183,Open application,4,not answered,14.04.2024,,,,
https://www.linkedin.com/jobs/view/3857366607/,"Python Backend Engineer, Cart & Checkout",5,rejected,15.04.2024,18.04.2024,,,
https://www.linkedin.com/jobs/view/3820529490/,"Backend Engineer, Purchase Platform",5,rejected,15.04.2024,17.04.2024,,,
https://jobs.lever.co/uprightproject/523c60d3-48aa-4285-84e8-b0dfc4ddb037,Data analyst,5,rejected,16.04.2024,23.04.2024,,,
https://www.jobly.fi/en/job/ai-specialist-institutional-research-and-analysis-2060332,AI Specialist for Institutional Research and Analysis,5,rejected after 2nd interview,16.04.2024,21.04.2024,03.05.2024,15.05.2024,
https://www.linkedin.com/jobs/view/3883443481,"Machine Learning Engineer III, HD Maps",4,not answered,16.04.2024,,,,
https://www.linkedin.com/jobs/view/data-manager-steward-at-university-of-helsinki-3871941494/,Data manager,6,ghosted,16.04.2024,24.04.2024,28.04.2024,06.05.2024,
https://boards.greenhouse.io/embed/job_app?token=5662223&gh_src=imgb4n1&source=LinkedIn,Software Dev Engineer II,6,withdrawn,18.04.2024,18.04.2024,23.04.2024,30.04.2024,16.05.2024
https://ats.talentadore.com/apply/lead-data-scientist/DoBPyJ,Lead Data Scientist (Data Scientist),6,rejected after 3rd interview,19.04.2024,23.04.2024,24.04.2024,30.04.2024,13.05.2024
https://www.linkedin.com/jobs/view/3745347303,Python Engineer,3,rejected,19.04.2024,21.04.2024,,,
https://www.linkedin.com/jobs/view/3902617831/,Senior Data Engineer,5,rejected after 1st interview,19.04.2024,29.04.2024,08.05.2024,,
https://www.linkedin.com/jobs/view/3905887170,"Senior Data Scientist (Analytics), Marketing",1,rejected,21.04.2024,29.04.2024,,,
https://www.linkedin.com/jobs/view/3191794743/,Consultant - McKinsey Digital,5,rejected,21.04.2024,07.05.2024,,,
https://www.linkedin.com/jobs/view/3904904352,Senior Data Scientist (contractor),4,not answered,21.04.2024,,,,
https://upm.wd3.myworkdayjobs.com/en-US/Careers/job/Helsinki/Data-Scientist_NB6021193-1?Location_Country=0afb2fa656da42e8bfb6d47bd24a26fa,Data Scientist,5,not answered,21.04.2024,,,,
https://www.linkedin.com/jobs/view/3908589165/,Senior Data Scientist,5,rejected after 3rd interview,28.04.2024,02.05.2024,06.05.2024,15.05.2024,17.05.2024
https://www.aalto.fi/en/open-positions/doctoral-researchers-in-software-engineering,Doctoral Researchers in Software Engineering,4,withdrawn,28.04.2024,,,,
,Data Scientist,5,withdrawn,16.05.2024,16.05.2024,,,
